recipe_id,avocado,bacon,cumin,eggs,garlic powder,ground beef,onion powder,bell pepper,salt,sharp cheddar,tabasco sauce,worcestershire sauce,coconut oil,onions,garlic,sweet potatoes,kimchi,kosher salt,black pepper,agave nectar,sherry vinegar,chives,arugula,egg,baking powder,blueberries,butter,cream of tartar,flour,milk,sugar,almond milk,vanilla extract,ground cinnamon,maple syrup,ground chia seeds,bread,banana,brown sugar,berries,almonds,hollandaise sauce,canadian bacon,english muffins,white vinegar,vanilla sugar,cinnamon powder,nutella,powdered sugar,whole wheat flour,all purpose flour,dark brown sugar,cinnamon,fresh ginger,unsalted butter,heavy cream,honey,brandy,apple,challah,butternut squash,vanilla,peanut butter,whole egg,orange juice,ground nutmeg,cayenne,an apple,pecans,mascarpone,tofu,olive oil,mushrooms,asparagus,garlic clove,italian seasonings,tumeric,cayenne pepper,water,fries,red potatoes
650377,0.5 ,2.0 strips,1.0 servings,1.0 ,1.0 servings,0.5 lb,1.0 servings,1.0 servings,1.0 servings,1.0 large slices,1.0 dashes,1.0 dashes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
662584,0,0,0,0,0,0,0,0,0,0,0,0,0.5 tablespoons,0.33 medium,0.67 cloves,0.67 ,0.25 cups,0.33 teaspoons,0.17 teaspoon,0.08 tablespoon,0.17 tablespoon,0.33 tablespoons,0.17 package,0.17 serving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729530,0,0,0,0,0,0,0,0,0.04 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17 ,0.25 teaspoons,0.17 pint,0.08 teaspoon,0.04 teaspoon,0.17 cup,0.06 cup,0.08 cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095748,0,0,0,0,0,0,0,0,0,0,0,0,1.0 tbsp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5 cup,0.25 tsp,0.25 tsp,1.0 servings,0.5 tbsp,2.5 Slices,0.5 ,1.0 tbsp,0.5 cup,0.13 cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639594,0,0,0,1.0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25 package,1.0 Slices,0.5 ,0.13 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1444543,0,0,0,1.5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 tbsp,0,0,0.38 cups,0,0,0,0,0.13 cup,0,2.0 slices,0,0,0.5 cups,0,0,0,0,0,0.25 packet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
653371,0,0,0,1.0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5 serving,0,0,0.13 cup,0.5 Tbsp,0,0,0,0,0,2.0 large slices,0,0,0,0,0,0,0,0,0,0.25 tsp,1.0 Tbsp,0.5 serving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632570,0,0,0,0,0,0,0,0,0.03 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13 ,0.13 tablespoon,0,0,0,0,0,0.13 tablespoon,0,0.13 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13 cup,0.13 cup,0.5 tablespoons,0.06 teaspoon,0.06 teaspoon,0.5 tablespoons,0.09 cup,0.25 tablespoons,0.13 teaspoon,0.19 cups,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636588,0,0,0,0.75 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25 serving,0,0,0.06 cup,0,0,0,0,0.5 tablespoons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25 serving,0,0,0,0,0,0,0.25 pound,0.19 cup,0.25 teaspoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0 pinch,0,0,2.0 slices,1.0 serving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0 Tablespoons,1.0 ,0.13 cup,1.0 pinch,1.0 pinch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
